"id_pd","nombre_pd","direccion","nombre_institucional","id_provincia","id_departamento","id_localidad","cod_bahra_localidad","id_municipio","provincia","departamento","localidad","municipio","mail_institucional","latitud","longitud","horarios","link_facebook","estado"
"40","Berisso I","33 S/N esquina 169 (Barrio Obrero)","CIC","AR-B","1208","323","06098010004 ","BUE014","Buenos Aires","Berisso","Berisso","Berisso","berisso@puntodigital.gob.ar","-34.881902","-57.85778","Lunes 08:00 a 17:00 , Martes 08:00 a 17:00 , Miércoles 08:00 a 17:00 , Jueves 08:00 a 17:00 , Viernes 08:00 a 17:00 ","https://www.facebook.com/nac.berisso/?notif_t=page_name_change&notif_id=1496838879569334","Activo"
"41","Cañuelas","Mozotegui 807","Edificio Municipal","AR-B","1213","431","06134030000 ","BUE018","Buenos Aires","Cañuelas","Cañuelas","Cañuelas","canuelas@puntodigital.gob.ar","-35.04996","-58.76252","Lunes 08:00 a 18:00 , Martes 08:00 a 18:00 , Miércoles 08:00 a 18:00 , Jueves 08:00 a 18:00 , Viernes 08:00 a 18:00 ","https://www.facebook.com/Punto-Digital-Cañuelas-814989875248868","Activo"
"42","Carmen de Patagones","Calle Ramón Ocampo 665","Edificio Municipal","AR-B","1286","1649","06602030000 ","BUE091","Buenos Aires","Patagones","Carmen de Patagones","Patagones","cdepatagones@puntodigital.gob.ar","-40.785067","-62.993563","Lunes 07:00 a 18:00 , Martes 07:00 a 18:00 , Miércoles 07:00 a 18:00 , Jueves 07:00 a 18:00 , Viernes 07:00 a 18:00 ","","Activo"
"43","Morón I (Sur)","Baradero 1340","Edificio Municipal","AR-B","1281","1497","06568010004 ","BUE086","Buenos Aires","Moron","Moron","Morón","moronsur@puntodigital.gob.ar","-34.689553","-58.636381","Lunes 08:00 a 16:00 , Martes 08:00 a 16:00 , Miércoles 08:00 a 16:00 , Jueves 08:00 a 16:00 , Viernes 08:00 a 16:00 , Sábado 08:00 a 16:00 ","https://www.facebook.com/PuntoDigitalMoronSur/?fref=ts","Activo"
"44","Chivilcoy","Miguel Calderon 1271","CIC","AR-B","1221","697","06224010000 ","BUE026","Buenos Aires","Chivilcoy","Chivilcoy","Chivilcoy","chivilcoy@puntodigital.gob.ar","-34.916846","-60.001681","Lunes 10:00 a 16:00 , Martes 10:00 a 16:00 , Miércoles 10:00 a 16:00 , Jueves 10:00 a 16:00 , Viernes 10:00 a 16:00 ","","Activo"
"45","Coronel Suárez I (Colonia Santa María)","Avenida 11 de mayo 1263","Institución Educativa","AR-B","1226","602","06203020000 ","BUE032","Buenos Aires","Coronel Suarez","Coronel Suarez","Coronel Suárez","coronelsuarez@puntodigital.gob.ar","-37.558786","-61.876575","Lunes 08:00 a 12:00 - 14:00 a 18:00 , Martes 08:00 a 12:00 - 14:00 a 18:00 , Miércoles 08:00 a 12:00 - 14:00 a 18:00 , Jueves 08:00 a 12:00 - 14:00 a 18:00 , Viernes 08:00 a 12:00 - 14:00 a 18:00 , Sábado 15:00 a 20:00 , Domingo 15:00 a 20:00 ","https://www.facebook.com/PDSantaMariaCoronelSuarez","Activo"
"46","Coronel Suarez II (CTC)","Rivadavia 155","Edificio municipal","AR-B","1226","602","06203020000 ","BUE032","Buenos Aires","Coronel Suarez","Coronel Suarez","Coronel Suárez","coronelsuarez2@puntodigital.gob.ar","-37.458378","-61.931273","Lunes 07:30 a 14:00 , Martes 07:30 a 14:00 , Miércoles 07:30 a 14:00 , Jueves 07:30 a 14:00 , Viernes 07:30 a 14:00 ","https://www.facebook.com/naccoronelsuarez.ctc","Activo"
"47","Dolores (CAJ)","Aristóbulo del Valle 302","CAJ","AR-B","1228","737","06238010000 ","BUE034","Buenos Aires","Dolores","Dolores","Dolores","cajdolores@puntodigital.gob.ar","-36.312982","-57.678878","Lunes 09:00 a 13:00 , Martes 09:00 a 13:00 , Miércoles 09:00 a 13:00 , Jueves 09:00 a 13:00 , Viernes 09:00 a 13:00 ","https://www.facebook.com/PuntoDigitalDolores/","Activo"
"48","General La Madrid","Roque Saenz Peña","Edificio Municipal","AR-B","1242","896","06322010000 ","BUE048","Buenos Aires","General La Madrid","General la Madrid","General la Madrid","lamadrid@puntodigital.gob.ar","-37.249677","-61.262192","Lunes 08:00 a 12:00 - 13:00 a 17:00 , Martes 08:00 a 13:00 - 13:00 a 17:00 , Miércoles 08:00 a 12:00 - 13:00 a 17:00 , Jueves 08:00 a 12:00 - 13:00 a 17:00 , Viernes 08:00 a 12:00 - 13:00 a 17:00 ","","Activo"
"49","La Matanza I (González Catán)","Juan Manuel Rosas 17798","Edificio Municipal","AR-B","1259","1151","06427010003 ","BUE065","Buenos Aires","La Matanza","Gonzalez Catan","La Matanza","gonzalezcatan@puntodigital.gob.ar","-34.793422","-58.632121","","","Temporalmente cerrado"
"50","General Las Heras","Rivadavia 220","Edificio Municipal","AR-B","1243","910","06329020000 ","BUE049","Buenos Aires","General las Heras","General las Heras","General las Heras","lasheras@puntodigital.gob.ar","-34.931214","-58.944117","Lunes 08:00 a 18:30 , Martes 08:00 a 16:00 , Miércoles 08:00 a 21:00 , Jueves 08:00 a 16:30 , Viernes 08:00 a 16:30 ","https://www.facebook.com/NacLasHeras/","Activo"
"51","General Rodríguez","Sarmiento 518","Edificio Municipal","AR-B","1248","995","06364030000 ","BUE054","Buenos Aires","General Rodriguez","General Rodriguez","General Rodríguez","generalrodriguez@puntodigital.gob.ar","-34.605147","-58.955793","Lunes 08:00 a 17:00 , Martes 08:00 a 17:00 , Miércoles 08:00 a 17:00 , Jueves 08:00 a 17:00 , Viernes 08:00 a 17:00 ","https://www.facebook.com/profile.php?id=100015355507336","Activo"
"52","La Matanza II (Villa Palito)","Peribebuy y Figueroa Alcorta","Edificio Municipal","AR-B","1259","1158","06427010010 ","BUE065","Buenos Aires","La Matanza","San Justo","La Matanza","villapalito@puntodigital.gob.ar","-34.69646","-58.557334","Lunes 08:00 a 16:00 , Martes 08:00 a 14:00 , Miércoles 08:00 a 14:00 , Jueves 08:00 a 13:00 , Viernes 08:00 a 13:00 - 17:00 a 22:00 ","","Activo"
"53","Lanús I (Pupi)","Monseñor Hladnik 3856","ONG","AR-B","1261","1168","06434010005 ","BUE067","Buenos Aires","Lanus","Remedios Escalada de San Martin","Lanús","pupi@puntodigital.gob.ar","-34.715557","-58.417292","Lunes 09:00 a 19:30 , Martes 09:00 a 19:30 , Miércoles 09:00 a 19:30 , Jueves 09:00 a 19:30 , Viernes 09:00 a 19:30 ","https://www.facebook.com/Punto-Digital-Fundaci%C3%B3n-Pupi-1403503536582769/","Activo"
"54","Laprida","Julio A. Costa","Sede de Envión","AR-B","1262","1215","06448010000 ","BUE068","Buenos Aires","Laprida","Laprida","Laprida","laprida@puntodigital.gob.ar","-37.53997","-60.79246","Lunes 08:00 a 12:00 - 14:00 a 17:00 , Martes 08:00 a 12:00 - 14:00 a 17:00 , Miércoles 08:00 a 12:00 - 14:00 a 17:00 , Jueves 08:00 a 12:00 - 14:00 a 17:00 , Viernes 08:00 a 12:00 - 14:00 a 17:00 ","","Activo"
"56","Lomas de Zamora I (Villa Albertina)","Bayona 70","Edificio Municipal","AR-B","1269","1350","06490010003 ","BUE074","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Lomas de Zamora","villaalbertina@puntodigital.gob.ar","-34.738918","-58.457142","","","Temporalmente cerrado"
